YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,TAXI_OUT,ELAPSED_TIME,AIR_TIME,WHEELS_ON,SCHEDULED_ARRIVAL,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
2015,1,1,4,WN,4859,N8641B,PVD,BWI,0600,0606,11,81,63,0720,0740,0,0,,,,,,
2015,1,1,4,WN,597,N768SW,SFO,ATL,0600,0554,9,270,253,1316,1340,0,0,,,,,,
2015,1,1,4,UA,1158,N73445,SFO,ORD,0600,0557,21,256,222,1200,1217,0,0,,,,,,
2015,1,1,4,UA,1163,N24224,MCO,EWR,0600,0555,10,141,126,0811,0834,0,0,,,,,,
2015,1,1,4,UA,1188,N68822,PDX,IAH,0600,0613,11,242,224,1208,1204,0,0,,,,,,
2015,1,1,4,UA,1198,N38451,BOS,ORD,0600,0557,13,165,146,0736,0753,0,0,,,,,,
2015,1,1,4,UA,1224,N87531,SFO,LAX,0600,0605,11,72,52,0708,0728,0,0,,,,,,
2015,1,1,4,UA,1296,N37471,SAT,LAX,0600,0616,10,188,170,0716,0727,0,0,,,,,,
2015,1,1,4,UA,1431,N36207,BOS,LAX,0600,0603,13,396,376,0932,0944,0,0,,,,,,
2015,1,1,4,UA,1637,N33294,SEA,EWR,0600,0606,10,291,268,1344,1411,0,0,,,,,,
2015,1,1,4,UA,1735,N66814,LAX,ORD,0600,0607,13,227,201,1141,1210,0,0,,,,,,
2015,1,1,4,US,410,N765US,IAH,PHX,0600,0553,14,173,155,0742,0750,0,0,,,,,,
2015,1,1,4,US,459,N536UW,MCO,PHX,0600,0557,13,294,273,0843,0841,0,0,,,,,,
2015,1,1,4,US,610,N560UW,SFO,PHX,0600,0557,16,120,87,0840,0854,0,0,,,,,,
2015,1,1,4,AA,72,N5EKAA,DFW,MCO,0600,0606,18,142,120,0924,0925,0,0,,,,,,
2015,1,1,4,AA,196,N3FBAA,MIA,PHL,0600,0604,18,174,148,0850,0844,0,0,,,,,,
2015,1,1,4,AA,304,N4XHAA,SLC,DFW,0600,0601,33,181,137,0951,0950,0,0,,,,,,
2015,1,1,4,AA,175,N3EWAA,DCA,DFW,0600,,,,,,0835,0,1,B,,,,,
2015,1,1,4,AA,281,N3FXAA,MIA,DFW,0600,0559,14,194,166,0759,0814,0,0,,,,,,
2015,1,1,4,AA,233,N3BEAA,BWI,MIA,0600,0643,21,151,124,0908,0843,0,0,,0,0,31,0,0
2015,1,1,4,AA,1100,N3GWAA,DFW,LGA,0600,0554,33,191,154,1001,1010,0,0,,,,,,
2015,1,1,4,AA,1103,N3HCAA,LGA,DFW,0600,,,,,,0905,0,1,B,,,,,
2015,1,1,4,AA,1028,N3BFAA,DEN,ORD,0600,0601,14,127,106,0901,0935,0,0,,,,,,
